doctor,Day,from,to 
Osama Abdelhay,Sunday,11:30,13:00
Osama Abdelhay,Monday,11:30  -15:30,13:00- 17:00
Osama Abdelhay,Tuesday,11:30,13:00
Osama Abdelhay,Wednesday,10:00,11:00
Osama Abdelhay,Thursday,11:30,13:00
Bushra Alhijawi,Sunday,14:00,15:00
Bushra Alhijawi,Monday,13:00,14:00
Bushra Alhijawi,Tuesday,12:00,13:00
Bushra Alhijawi,Wednesday,no office hours,no office hours
Bushra Alhijawi,Thursday,10:00,11:00
Ahmad Alzghoul,Sunday,11:00,12:00
Ahmad Alzghoul,Monday,no office hours,no office hours
Ahmad Alzghoul,Tuesday,12:00,13:00
Ahmad Alzghoul,Wednesday,by appointment,by appointment
Ahmad Alzghoul,Thursday,11:00,12:00
Serin Atiani,Sunday,11:00,12:00
Serin Atiani,Monday,11:30,12:30
Serin Atiani,Tuesday,11:00,12:00
Serin Atiani,Wednesday,11:30,12:30
Serin Atiani,Thursday,11:00,12:00
Mohammad Azzeh,Sunday,12:00,13:00
Mohammad Azzeh,Monday,13:00,14:00
Mohammad Azzeh,Tuesday,12:00,13:00
Mohammad Azzeh,Wednesday,13:00,14:00
Mohammad Azzeh,Thursday,13:00,14:00
saleh Abusoud,Sunday,no office hours,no office hours
saleh Abusoud,Monday,10:00,12:00
saleh Abusoud,Tuesday,12:00,13:00
saleh Abusoud,Wednesday,10:00,12:00
saleh Abusoud,Thursday,no office hours,no office hours
Mohammad abdelrahman,Sunday,11:00,12:00
Mohammad abdelrahman,Monday,13:00,14:00
Mohammad abdelrahman,Tuesday,11:00,12:00
Mohammad abdelrahman,Wednesday,13:00,14:00
Mohammad abdelrahman,Thursday,11:00,12:00
Tariq Bdair,Sunday,11:00,12:00
Tariq Bdair,Monday,11:00,12:30
Tariq Bdair,Tuesday,11:00,12:00
Tariq Bdair,Wednesday,11:00,12:30
Tariq Bdair,Thursday,by appointment,by appointment
Omar AlQwasmi,Sunday,11:00,12:00
Omar AlQwasmi,Monday,12:00,14:00
Omar AlQwasmi,Tuesday,11:00,12:00
Omar AlQwasmi,Wednesday,by appointment,by appointment
Omar AlQwasmi,Thursday,by appointment,by appointment
